討,う∙つ/トウ chastise
唯,ただ/ユイ solely
腹,はら/フク abdomen
厘,リン rin
精,セイ refined
涯,はて/ガイ horizon
撮,と∙る/サツ snapshot
捻,ね∙じる/ネン twirl
毅,つよ∙い/キ strong
関,せき/カン connection
就,つ∙く/シュウ concerning
間,あいだ/カン interval
抑,おさ∙える/ヨク repress
首,くび/シュ neck
庫,くら/コ warehouse
山,やま/サン mountain
効,き∙く/コウ merit
園,その/エン park
曹,ソウ office
醒,さ∙ます/セイ awake
眠,ねむ∙る/ミン sleep
量,はか∙る/リョウ quantity
逓,かわ∙る/テイ relay
琳,リン jewel
携,たずさ∙える/ケイ portable
序,つい∙で/ジョ preface
脚,あし/キャク skids
泊,と∙まる/ハク overnight stay
暗,くら∙い/アン darkness
背,せ/ハイ stature
胤,たね/イン descendent
夢,ゆめ/ム dream
皇,コウ emperor
枝,えだ/シ bough
軍,いくさ/グン army
膏,あぶら/コウ fat
縮,ちぢ∙む/シュク shrink
刑,ケイ punish
操,みさお/ソウ maneuver
謂,い∙う/イ reason
医,い∙やす/イ doctor
坪,つぼ/ヘイ two-mat area
厳,おごそ∙か/ゲン stern
弾,ひ∙く/ダン bullet
帖,かきもの/チョウ quire (of paper)
莫,くれ/バク must not
欠,か∙ける/ケツ lack
向,む∙く/コウ yonder
沸,わ∙く/フツ seethe
踪,あと/ソウ remains
究,きわ∙める/キュウ research
悲,かな∙しい/ヒ grieve
塾,ジュク cram school
角,かど/カク angle
埴,はに/ショク clay
謎,なぞ/メイ riddle
祐,たす∙ける/ユウ help
形,かた/ケイ shape
逢,あ∙う/ホウ meeting
特,トク special
遼,リョウ distant
訟,ショウ sue
棲,す∙む/セイ live
実,み/ジツ reality
遇,あ∙う/グウ meet
梨,なし/リ pear tree
梢,こずえ/ショウ treetops
傑,すぐ∙れる/ケツ greatness
綻,ほころ∙びる/タン be rent
深,ふか∙い/シン deep
劾,ガイ censure
誓,ちか∙う/セイ vow
樺,かば/カ birch
鉄,くろがね/テツ iron
逐,チク pursue
依,よ∙る/イ reliant
丘,おか/キュウ hill
股,また/コ thigh
畳,たた∙む/ジョウ tatami mat
摘,つ∙む/テキ pinch
検,しら∙べる/ケン examination
迦,カ (used phonetically)
夏,なつ/カ summer
得,え∙る/トク gain
起,お∙きる/キ rouse
阻,はば∙む/ソ thwart
光,ひか∙る/コウ ray
灸,やいと/キュウ moxa cautery
践,ふ∙む/セン tread
彪,あや/ヒョウ spotted
中,なか/チュウ in
洋,ヨウ ocean
屯,たむろ/トン barracks
婦,よめ/フ lady
削,けず∙る/サク plane
欧,うた∙う/オウ Europe
金,かね/キン gold
掬,きく∙す/キク scoop up water with the hand
妖,あや∙しい/ヨウ attractive
瓢,ひさご/ヒョウ gourd
切,き∙る/セツ cut
泳,およ∙ぐ/エイ swim
巨,キョ gigantic
簾,すだれ/レン bamboo screen
祈,いの∙る/キ pray
求,もと∙める/キュウ request
乎,か/コ question mark
堵,かき/ト fence
移,うつ∙る/イ shift
外,そと/ガイ outside
側,かわ/ソク side
姓,セイ surname
潮,しお/チョウ tide
呉,く∙れる/ゴ give
補,おぎな∙う/ホ supplement
券,ケン ticket
義,ギ righteousness
甚,はなは∙だ/ジン tremendously
梗,ふさぐ/コウ for the most part
容,い∙れる/ヨウ contain
扇,おうぎ/セン fan
輿,かご/ヨ palanquin
訃,しらせ/フ obituary
克,か∙つ/コク overcome
昴,すばる/コウ the Pleiades
沓,くつ/トウ shoes
兵,つわもの/ヘイ soldier
醇,もっぱら/ジュン pure sake'
挫,くじ∙く/ザ crush
功,いさお/コウ achievement
賄,まかな∙う/ワイ bribe
維,イ fiber
俗,ゾク vulgar
宝,たから/ホウ treasure
老,お∙いる/ロウ old man
棒,ボウ rod
嵯,サ steep
蒸,む∙す/ジョウ steam
樋,ひ/トウ water pipe
狩,か∙る/シュ hunt
娠,シン with child
頭,あたま/トウ head
敗,やぶ∙れる/ハイ failure
李,すもも/リ plum
溝,みぞ/コウ gutter
婿,むこ/セイ bridegroom
殴,なぐ∙る/オウ assault
廉,レン bargain
暴,あば∙く/ボウ outburst
嵐,あらし/ラン storm
留,と∙める/リュウ detain
際,きわ/サイ occasion
芽,め/ガ bud
膝,ひざ/シツ knee
旗,はた/キ national flag
舞,ま∙う/ブ dance
賓,ヒン V.I.P.
質,たち/シツ substance
憤,いきどお∙る/フン aroused
肉,しし/ニク meat
